Date,Open,High,Low,Close,Adj Close,Volume
2022-02-16,298.500000,307.000000,287.500000,288.975006,288.975006,3371230
2022-02-17,291.450012,293.200012,285.174988,287.524994,287.524994,1064648
2022-02-18,288.350006,289.850006,283.200012,285.075012,285.075012,624778
2022-02-21,280.100006,287.000000,274.274994,282.424988,282.424988,570322
2022-02-22,270.000000,280.000000,266.500000,274.575012,274.575012,968766
2022-02-23,280.000000,283.924988,273.500000,275.200012,275.200012,757280
2022-02-24,269.924988,269.924988,247.699997,249.699997,249.699997,1412740
2022-02-25,252.199997,274.649994,252.175003,274.649994,274.649994,1476958
2022-02-28,286.000000,293.899994,272.000000,287.000000,287.000000,2268352
2022-03-02,288.000000,299.899994,280.299988,291.600006,291.600006,1838177
2022-03-03,292.000000,295.950012,277.250000,278.500000,278.500000,2289448
2022-03-04,276.950012,282.649994,270.000000,277.799988,277.799988,758193
2022-03-07,269.500000,274.399994,263.149994,265.149994,265.149994,263487
2022-03-08,267.799988,275.399994,261.000000,272.600006,272.600006,631281
2022-03-09,274.899994,294.899994,272.299988,289.649994,289.649994,1772394
2022-03-10,294.700012,297.500000,283.100006,286.700012,286.700012,944148
2022-03-11,282.500000,290.000000,279.250000,287.250000,287.250000,669843
2022-03-14,288.000000,288.700012,281.600006,285.299988,285.299988,646965
2022-03-15,285.950012,286.750000,280.100006,281.700012,281.700012,862882
2022-03-16,282.950012,302.000000,278.450012,294.549988,294.549988,3809900
2022-03-17,299.799988,319.600006,296.049988,315.149994,315.149994,4956242
